A	nida.;
AB	is.;
ABBASI	x.is.;is.;
ABBASILIQ	is.;
ABA	is.;
ABAD	sif.;
ABADAN	sif.;
ABADANLAN	f.;
ABADANLANMA	f.;
ABADANLANMAQ	f.;
ABADANLAŞ	f.;
ABADANLAŞDIR	f.;
ABADANLAŞDIRIL	f.;
ABADANLAŞDIRILMA	f.;
ABADANLAŞDIRILMAQ	f.;
ABADANLAŞDIRMA	f.;
ABADANLAŞDIRMAQ	f.;
ABADANLAŞMA	f.;
ABADANLAŞMAQ	f.;
ABADANLIQ	is.;
ABADCA	zer.;
ABADISTAN	is.;
ABADLAN	f.;
ABADLANMA	f.;
ABADLAŞ	f.;
ABADLAŞDIR	f.;
ABADLAŞDIRIL	f.;
ABADLAŞDIRILMA	f.;
ABADLAŞDIRILMAQ	f.;
ABADLAŞDIRMA	f.;
ABADLAŞDIRMAQ	f.;
ABADLAŞMA	f.;
ABADLAŞMAQ	f.;
ABADLIQ	is.;
ABAJUR	is.;
ABAJURLU	sif.;
ABAK	is.;
ABALI	is.;
ABASBƏYİ	is.;
ABATMENT	is.;
ABAVÜ-ƏCDAD	is.;
ABAZ	is.;
ABAZA	is.;
ABAZCA	zer.;
ABBASI	is.;
ABBASİ	is.;
ABBASİLƏR	is.;
ABBASILIQ	is.;
ABBAT	is.;
ABBATLIQ	is.;
ABCO	is.;
ABDAL	is.;
ABDALCA	zer.;
ABDALCASINA	zer.;
ABDALİLƏR	is.;
ABDALLAŞ	f.;
ABDALLAŞMA	f.;
ABDALLAŞMAQ	f.;
ABDALLIQ	is.;
ABDAR	sif.;
ABDARLIQ	is.;
ABDƏST	is.;
ABDƏSTXANA	is.;
ABDUQ	is.;
ABERRASİYA	is.;
ABGAH	is.;
ABGƏRDƏN	is.;
ABGÜN	is.;
ABGÜŞT	is.;
AB-HAVA	is.;
AB-HAVA, ABÜ	is.;
AB-HAVALI	sif.;
ABI	sif.;
ABİ-BƏQA	is.;
ABICA	zer.;
ABİ-ÇEŞM	is.;
ABİD	is.;
ABİDANƏ	zer.;
ABİDCƏSİNƏ	zer.;
ABİDƏ	is.;
ABİDƏ-BULAQ	is.;
ABİDƏƏTRAFI	is.;
ABİDLƏŞ	f.;
ABİDLƏŞMƏ	f.;
ABİDLƏŞMƏK	f.;
ABİDLİK	is.;
ABI-GÖY	is.;
ABİ-HƏYAT	is.;
ABİ-HEYVAN	is.;
ABİ-KASNİ	is.;
ABİ-KÖVSƏR	is.;
ABILIQ	is.;
ABİ-NİYSAN	is.;
ABİOGENEZ	is.;
ABİOTİK	sif.;
ABI-QIRMIZI	sif.;
ABIR	is.;
ABİ-RƏVAN	sif.;
ABIR-HƏYA	is.;
ABIR-İSMƏT	is.;
ABIRLA	zer.;
ABIRLAMA	f.;
ABIRLAMAQ	f.;
ABIRLAN	f.;
ABIRLANDIR	f.;
ABIRLANDIRMA	f.;
ABIRLANMA	f.;
ABIRLANMAQ	f.;
ABIRLI	sif.;
ABIRLILIQ	is.;
ABIRSIZ	sif.;
ABIRSIZ-ABIRSIZ	sif.;
ABIRSIZCA	zer.;
ABIRSIZCASINA	zer.;
ABIRSIZLIQ	is.;
ABİSİ ́N	is.;
ABİSİN	is.;
ABİSSAL	sif.;
ABITƏHƏR	sif.;
ABİTURİYENT	is.;
ABIYAÇALAN	sif.;
ABIYAOXŞAR	sif.;
ABI-YAŞIL	sif.;
ABİYETİN	is.;
ABİ-ZƏMZƏM	is.;
ABİ-ZİNDƏGANİ	sif.;
ABKEŞ	is.;
ABLYASİYA	is.;
ABNOS	is.;
ABNOS, ABNUS	is.;
ABOLİSİONİST	is.;
ABOLİSİONİZM	is.;
ABONEMENT	is.;
ABONEMETR	is.;
ABONENT	is.;
ABORDAJ	is.;
ABORİGEN	is.;
ABORT	is.;
ABORTİV	is.;
ABPAŞ	is.;
ABQORA	is.;
ABQORALIQ	is.;
ABRAZİV	is.;
ABRAZİVLİK	is.;
ABRAZİV-MAYE	is.;
ABRAZİYA	is.;
ABREK	is.;
ABREVİATURA	is.;
ABRİKOTİN	is.;
ABRİZ	is.;
ABRU	is.;
ABSENTEİZM	is.;
ABSES	is.;
ABSİDA	is.;
ABSİS	is.;
ABSOLYUT	is.;
ABSOLYUTLUQ	is.;
ABSORBENT	is.;
ABSORBER	is.;
ABSORBSİOMETR	is.;
ABSORBSİOMETRİYA	is.;
ABSORBSİYA	is.;
ABSORBSİYAOLUNMA	is.;
ABSORBSİYJDİCİ	is.;
ABSTİNENSİYA	is.;
ABSTRAKSİONİZM	is.;
ABSTRAKSİYA	is.;
ABSTRAKT	sif.;
ABSTRAKTLAŞ	f.;
ABSTRAKTLAŞDIR	f.;
ABSTRAKTLAŞDIRIL	f.;
ABSTRAKTLAŞDIRILMA	f.;
ABSTRAKTLAŞDIRILMAQ	f.;
ABSTRAKTLAŞDIRMA	f.;
ABSTRAKTLAŞDIRMAQ	f.;
ABSTRAKTLAŞMA	f.;
ABSTRAKTLAŞMAQ	f.;
ABSTRAKTLIQ	is.;
ABSURD	sif.;
AB-TAB	is.;
ABTÜRATOR	is.;
ABULİYA	is.;
ABUNƏ	is.;
ABUNƏÇİ	is.;
ABXAZ	is.;
ABXAZ-ADIGEY	is.;
ABXAZCA	zer.;
ABXOR	is.;
ABYEŞİK	is.;
ABYEŞİKLİK	is.;
ABZAS	is.;
AÇ	f.;
AC	sif.;
AC-ACINA	zer.;
ACAR	is.;
AÇAR	is.;
ACARCA	zer.;
AÇARÇI	is.;
AÇARÇILIQ	is.;
AÇARLA	f.;
AÇARLI	sif.;
AÇARQAYIRAN	is.;
AC-ÇILPAQ	sif.;
ACDIR	f.;
AÇDIR	f.;
ACDIRAN	f.;
AÇDIRIL	f.;
AÇDIRILMA	f.;
ACDIRMA	f.;
AÇDIRMA	f.;
ACDIRMAQ	f.;
AÇDIRMAQ	f.;
AÇDIRT	f.;
AÇDIRTMA	f.;
AÇEKLƏR	is.;
ACGÖDƏN	sif.;
ACGÖZ	sif.;
ACGÖZLÜ	sif.;
ACGÖZCƏSİNƏ	zer.;
ACGÖZLÜ	sif.;
ACGÖZLÜK	is.;
ACGÖZLÜLÜK	is.;
ACI	sif.;
ACI-ACI	sif.;
ACIAĞACI	is.;
ACI-AĞRI	is.;
ACIBALDIRĞAN	is.;
ACIBİYAN	is.;
ACICA	sif.;
AÇICI	sif.;
ACIÇİÇƏK	is.;
ACIDİL	sif.;
ACIDİLLİ	sif.;
ACIDİLLİ	sif.;
ACIDİLLİLİK	is.;
ACIDİLLİK	is.;
